МАТРИЦА ТРЕБОВАНИЙ
к ТЗ на разработку SCADA-системы в составе O-PAS-совместимой АСУ ТП

Легенда приоритетов:
M — обязательно
R — рекомендуется
O — опционально

Легенда проверки:
INS — анализ документации
DEM — демонстрация
TST — испытание
ANL — анализ / расчет

ID | Требование | Приоритет | Источник O-PAS | Проверка
REQ-001 | SCADA должна функционировать как supervisory-компонент открытой архитектуры | M | Part 1 | INS
REQ-002 | SCADA не должна подменять функции базового регулирования и safety-систем | M | Part 1, Part 7 | INS
REQ-003 | Система должна поддерживать модульную архитектуру и разделение серверных ролей | M | Part 1 | INS
REQ-004 | Система должна поддерживать интеграцию через OPC UA | M | Part 4 | DEM/TST
REQ-005 | Система должна корректно обрабатывать OPC UA namespaces и модели данных | M | Part 4, Part 6.1 | DEM/TST
REQ-006 | Система должна поддерживать интеграцию с OCF-совместимыми компонентами | M | Part 4 | DEM/TST
REQ-007 | Система должна поддерживать structured data model для тегов и сигналов | M | Part 6.2 | INS/DEM
REQ-008 | Для сигналов должны поддерживаться value, timestamp, quality/status, units, source | M | Part 6.2, Part 6.6 | DEM/TST
REQ-009 | Система должна поддерживать правила именования объектов и тегов | M | Part 6.2 | INS
REQ-010 | Система должна поддерживать import/export конфигурации | M | Part 6.1, Part 6.2, Part 6.3 | DEM/TST
REQ-011 | Система не должна использовать закрытый формат как единственный носитель критичных инженерных данных | M | Part 6.1 | INS
REQ-012 | Импортируемая конфигурация должна проходить проверку целостности и структуры | M | Part 6.1 | TST
REQ-013 | Система должна поддерживать конфигурирование тревог и событий в структурированной форме | M | Part 6.3 | DEM
REQ-014 | Система должна различать process, diagnostic, system и security events | M | Part 6.3, Part 2 | DEM/TST
REQ-015 | Для тревоги должны поддерживаться приоритет, источник, состояние, подтверждение, timestamp | M | Part 6.3 | DEM/TST
REQ-016 | Система должна поддерживать журнал тревог и событий | M | Part 6.3 | DEM
REQ-017 | Система должна поддерживать online и historical trends | M | Part 6.2 | DEM
REQ-018 | Архив должен сохранять качество данных вместе со значением | M | Part 6.2, Part 6.6 | TST
REQ-019 | Система должна вести журнал действий операторов и инженерных изменений | M | Part 2, Part 6.1 | DEM/TST
REQ-020 | Система должна поддерживать ролевую модель доступа | M | Part 2 | TST
REQ-021 | Система должна поддерживать аутентификацию пользователей | M | Part 2 | TST
REQ-022 | Система должна регистрировать security-события и попытки несанкционированного доступа | M | Part 2 | TST
REQ-023 | Система должна поддерживать защищенные каналы взаимодействия, где это предусмотрено архитектурой | M | Part 2, Part 4 | TST
REQ-024 | Система должна отображать деградацию данных и потерю связи как особое состояние | M | Part 6.2, Part 7 | DEM/TST
REQ-025 | Система должна поддерживать диагностику времени и фиксировать нарушение синхронизации | R | Part 4, Part 7 | DEM/TST
REQ-026 | Система должна поддерживать интеграцию с IEC 61131-ориентированными метаданными, если они доступны | R | Part 6.6 | DEM
REQ-027 | Система должна отображать объектную и функциональную принадлежность переменных и состояний | R | Part 6.2, Part 6.6 | DEM
REQ-028 | Система должна поддерживать резервирование критических ролей, если это предусмотрено проектом | R | Part 1, Part 7 | ANL/TST
REQ-029 | Система должна обеспечивать предсказуемый режим деградации при отказах | M | Part 1, Part 7 | TST
REQ-030 | Разработчик должен предоставить архитектурную и эксплуатационную документацию | M | Part 6.1 | INS
REQ-031 | Проект должен быть пригоден для сопровождения другим квалифицированным исполнителем | M | Part 1, Part 6.1 | INS
REQ-032 | Приемка должна включать FAT и SAT | M | Part 1 | INS/TST
REQ-033 | Система должна поддерживать формирование эксплуатационных и тревожных отчетов | R | Part 6.2, Part 6.3 | DEM
REQ-034 | Система должна поддерживать навигацию от overview к detailed screens | M | Part 1 | DEM
REQ-035 | Система должна обеспечивать единообразное отображение технологических, диагностических и сервисных состояний | M | Part 1, Part 6.3 | DEM
